research_usage,result,_id.$oid,timestamp.$date,stored.$date,actor,binome,actor.objectType,verb,object,object.objectType,object.extension,session.id,commandRan,result.success,stdin,stdout,stderr,P_codeState,filename,filename_infere,F_codeState,Debug_TimeStampEnd,Debug_TimeStampActions,tests,function,time_delta,session.duration,seance,TP,Type_TP,research_usage_clean,binome_is_debutant,actor_is_debutant
True,0.0,66fd43fcbd5a98b8f9dad42a,2024-10-02 15:00:44.604000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Session.Start,https://www.cristal.univ-lille.fr/objects/Session,Activity,0.0,139955073738272,,True,,,,,,,,,,,,5 days 03:18:42.549000,0 days 00:00:00,semaine_5,,,True,,False
True,0.0,66fd451cbd5a98b8f9dad54a,2024-10-02 15:00:44.848000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,File.Open,https://www.cristal.univ-lille.fr/objects/File,Activity,0.0,139955073738272,,True,,,,,/home/l1/offrirait.rendors/TDM/TP-04/conditionnelles.py,conditionnelles.py,"def cout_location(nb_jours:int,nb_kilo:int,chaine:str)->float:
    """"""Renvoie le coût total de la location

    Précondition : /
    Exemple(s) :
    $$$ cout_location(4,40,""electrique"")
    667.1999999999999
    """"""
    cout = 0
    if chaine == ""electrique"":
        cout = (139*nb_jours)*(0.03*nb_kilo)
    elif chaine == ""diesel"":
        cout = (69*nb_jours)*(0.1*nb_kilo)
    else :
        cout = (49*nb_jours)*(0.12*nb_kilo)
    return cout


def argminimum(a:int,b:int,c:int)->int:
    """""" renvoie 1 si 𝑎 est le plus petit
des 3 nombres, 2 si c’est 𝑏 et 3 si c’est 𝑐

    Précondition : /
    Exemple(s) :
    $$$ argminimum(1,8,2)
    1
    $$$ argminimum(7,8,1)
    3
    $$$ argminimum(9,1,2)
    2
    """"""
    if b>a and c>a:
        return 1
    elif c>b:
        return 2
    elif b>c:
        return 3
    
    
def  conseil_voiture(nb_jours:int,nb_kilometre:int)->str:
    """""" qui renvoie 'electrique' si le véhicule électrique est le moins cher, 'diesel' si
c’est le véhicule diesel ou 'essence' si c’est le véhicule à essence.

    Précondition : /
    Exemple(s) :
    $$$ conseil_voiture(4,40)
    'electrique'
    """"""
    moins_chers = """"
    if cout_location(nb_jours,nb_kilometre,'electrique')<cout_location(nb_jours,nb_kilometre,'diesel'):
        moins_chers = 'electrique'
    elif cout_location(nb_jours,nb_kilometre,'electrique')>cout_location(nb_jours,nb_kilometre,'diesel') :
        moins_chers = 'diesel'
    else :
        moins_chers = 'essence'
    return moins_chers


def calcul_gain(num_lancer:int,pari:str,mise:int)->int:
    """""" renvoie le gain obtenu.

    Précondition : / 
    Exemple(s) :
    $$$ calcul_gain(6, ""Pair"", 21)
    42
    $$$ calcul_gain(36, ""Passe"", 21)
    42
    $$$ calcul_gain(6, ""Impair"", 21)
    0
    $$$ calcul_gain(5, ""5"", 20)
    36 * 20
    $$$ calcul_gain(5, ""6"", 21)
    21 * 1.5
    $$$ calcul_gain(5, ""31"", 21)
    21 * 1.5
    """"""
    gain = 0
    pair = num_lancer%2==0
    impair = num_lancer%2!=0
    manque = 0<=num_lancer<17
    passe = 18<=num_lancer<=36
    if str(num_lancer) == pari :
        return mise*36
     

def est_bisextille(an:int)->bool:
    """""" renvoie True si l'annee est bisextille

    Précondition : /
    Exemple(s) :
    $$$ est_bisextille(2020)
    True
    """"""
    return (an % 4 == 0 and an % 100 != 0) or (an % 400 == 0)




#
def minimum(nb1:int,nb2:int)->int:
    """""" renvoie le plus petit de ses paramètres

    Précondition : /
    Exemple(s) :
    $$$ minimum(5,8)
    5
    $$$ minimum(78,8)
    8
    """"""
    return nb1 if nb1<nb2 else nb2


def parite(n:int)->str:
    """""" renvoie la chaîne 'pair' si l’entier est pair
et la chaîne de caractère 'impair' si l’entier est impair

    Précondition : /
    Exemple(s) :
    $$$ parite(8)
    'pair'
    $$$ parite(7)
    'impair'
    """"""
    if n%2==0:
        return 'pair'
    else :
        return 'impair'
    

def mediane(a:int,b:int,c:int)->int:
    """""" renvoie son paramètre médian

    Précondition : /
    Exemple(s) :
    $$$ mediane(4,5,9)
    5
    $$$ mediane(2,3,1)
    2
    $$$ mediane(7,10,8)
    8
    $$$ mediane(5,3,8)
    5
    $$$ mediane(5,4,9)
    5
    """"""
    if a<=b<=c or c<=b<=a:
        return b
    elif a<=c<=b or b<=c<=a:
        return c
    else:
        return a
    

def grade(note:int)->str:
    """""" renvoie une lettre qui vaut
•'A' si le paramètre est compris entre 16 et 20 inclus
• 'B' si le paramètre est compris entre 12 inclus et 16 exclu
• 'C' si le paramètre est compris entre 8 inclus et 12 exclu
• 'D' si le paramètre est compris entre 4 inclus et 8 exclu
• 'E' si le paramètre est compris entre 0 et 4 exclu

    Précondition : /
    Exemple(s) :
    $$$ grade(18)
    'A'
    $$$ grade(4)
    'D'
    """"""
    if 16<note<=20:
        return 'A'
    elif 12<=note<16:
        return 'B'
    elif 8<=note<12:
        return 'C'
    elif 4<=note<8:
        return 'D'
    elif 0<note<4:
        return 'E'
    

def saison(jour:int, mois:int)->str:
    """""" renvoie un str 'été', 'automne', 'hiver', 'printemps' en
fonction d'une date donnée par son numéro de jour et de mois.

    Précondition : /
    Exemple(s) :
    $$$ saison(21,12)
    'hiver'
    $$$ saison(7,5)
    'printemps'
    """"""
    if (mois==3 and jour>=20) or (mois==4) or (mois==5) or (mois==6 and jour<21):
        return 'printemps'
    elif (mois==6 and jour>=21) or (mois==7) or (mois==8) or (mois==9 and jour<22):
        return 'été'
    elif (mois==9 and jour>=22) or (mois==10) or (mois==11) or (mois==12 and jour<21):
        return 'automne'
    else:
        return 'hiver'



    
    
    
    ",,,,,0 days 00:00:00.244000,0 days 00:00:00,semaine_5,Tp4,TP_prog,True,,False
True,0.0,66fd4543bd5a98b8f9dad575,2024-10-02 15:05:32.636000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Docstring.Generate,https://www.cristal.univ-lille.fr/objects/DocString,Activity,0.0,139955073738272,,True,,,,,,,,,,,nombre_exemplaires,0 days 00:04:47.788000,0 days 00:00:00,semaine_5,,,True,,False
True,0.0,66fd458fbd5a98b8f9dad5cb,2024-10-02 15:06:11.170000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,File.Save,https://www.cristal.univ-lille.fr/objects/File,Activity,0.0,139955073738272,,True,,,,,/home/l1/offrirait.rendors/TDM/TP-04/imprimerie.py,imprimerie.py,"def nombre_exemplaires():
    """""" à_remplacer_par_ce_que_fait_la_fonction

    Précondition :
    Exemple(s) :
    $$$
    """"""
    ",,,,,0 days 00:00:38.534000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd45a5bd5a98b8f9dad5f1,2024-10-02 15:07:27.028000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,File.Save,https://www.cristal.univ-lille.fr/objects/File,Activity,0.0,139955073738272,,True,,,,,/home/l1/offrirait.rendors/TDM/TP-05/imprimerie.py,imprimerie.py,def ,,,,,0 days 00:01:15.858000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd45d6bd5a98b8f9dad629,2024-10-02 15:07:49.753000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Docstring.Generate,https://www.cristal.univ-lille.fr/objects/DocString,Activity,0.0,139955073738272,,True,,,,,,imprimerie.py,,,,,nombre_exemplaire,0 days 00:00:22.725000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd4687bd5a98b8f9dad6d4,2024-10-02 15:08:38.613000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Docstring.Generate,https://www.cristal.univ-lille.fr/objects/DocString,Activity,0.0,139955073738272,,True,,,,,,imprimerie.py,,,,,affichage,0 days 00:00:48.860000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd474fbd5a98b8f9dad7d6,2024-10-02 15:11:35.148000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Docstring.Generate,https://www.cristal.univ-lille.fr/objects/DocString,Activity,0.0,139955073738272,,True,,,,,,imprimerie.py,,,,,affichage,0 days 00:02:56.535000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd47f6bd5a98b8f9dad897,2024-10-02 15:14:55.525000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Docstring.Generate,https://www.cristal.univ-lille.fr/objects/DocString,Activity,0.0,139955073738272,,True,,,,,,imprimerie.py,,,,,montant_facture,0 days 00:03:20.377000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd4806bd5a98b8f9dad8a6,2024-10-02 15:17:42.913000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Run.Command,https://www.cristal.univ-lille.fr/objects/Command,Activity,0.0,139955073738272,"res = 5
    prix = 10
    print('Il vous sera livré '+ str(res) +' flyers pour un montant de '+ str(prix)+'E')
",False,,,"  File ""<stdin>"", line 2
    prix = 10
IndentationError: unexpected indent
",,,imprimerie.py,,,,,,0 days 00:02:47.388000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd48d9bd5a98b8f9dad998,2024-10-02 15:17:58.827000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Run.Command,https://www.cristal.univ-lille.fr/objects/Command,Activity,0.0,139955073738272,"res = 5
prix = 10
print('Il vous sera livré '+ str(res) +' flyers pour un montant de '+ str(prix)+'E')
",True,,"Il vous sera livré 5 flyers pour un montant de 10E
",,,,imprimerie.py,,,,,,0 days 00:00:15.914000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd48d9bd5a98b8f9dad999,2024-10-02 15:21:29.790000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,File.Save,https://www.cristal.univ-lille.fr/objects/File,Activity,0.0,139955073738272,,True,,,,,/home/l1/offrirait.rendors/TDM/TP-05/imprimerie.py,imprimerie.py,"def saisie():
    """""" Saisie le nb de flyers 

    Précondition :
    Exemple(s) :
    $$$
    """"""
    x = input('Combien de flyers voulez-vous commander ? ')
    return int(x)
    
def affichage(nb:int):
    """""" Affiche le prix pour un certain nb de flyers

    Précondition :
    Exemple(s) :
    $$$
    """"""
    res = nombre_exemplaire(nb)
    prix = montant_facture(nb)
    print('Il vous sera livré '+ str(res) +' flyers pour un montant de '+ str(prix)+'E')



def nombre_exemplaire(nb:int)->int:
    """""" à_remplacer_par_ce_que_fait_la_fonction

    Précondition :
    Exemple(s) :
    $$$ nombre_exemplaires(400)
    500
    $$$ nombre_exemplaires(500)
    500
    $$$ nombre_exemplaires(2540)
    3000
    $$$ nombre_exemplaires(5000)
    5000
    """"""
    if nb <=100:
        return 100
    elif nb <= 500:
        return 500
    elif nb <= 1000:
        return 1000
    else:
        return (nb+999//1000)*1000
    
def montant_facture(nb:int)->int:
    """""" renvoie le prix à payer pour ces flyers

    Précondition :
    Exemple(s) :
    $$$
    """"""
    

if __name__ == '__main__':
    #
    saisie()
    ",,,,,0 days 00:03:30.963000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
True,0.0,66fd48d9bd5a98b8f9dad99a,2024-10-02 15:21:29.819000+00:00,2024-08-29T07:34:11.687Z,offrirait.rendors,,Agent,Run.Command,https://www.cristal.univ-lille.fr/objects/Command,Activity,0.0,139955073738272,"%cd /home/l1/offrirait.rendors/TDM/TP-05
",True,,,,,,imprimerie.py,,,,,,0 days 00:00:00.029000,0 days 00:00:00,semaine_5,Tp5,TP_prog,True,,False
